server_id,server_open_date,game_name
S1,2024-05-01,Cửu Long Tranh Bá
S2,2024-05-01,Cửu Long Tranh Bá
S3,2024-06-05,Cửu Long Tranh Bá
S4,2024-06-05,Cửu Long Tranh Bá
S5,2024-07-11,Cửu Long Tranh Bá
S6,2024-07-11,Cửu Long Tranh Bá
S7,2024-08-16,Cửu Long Tranh Bá
S8,2024-08-16,Cửu Long Tranh Bá
S9,2024-09-20,Cửu Long Tranh Bá
S10,2024-09-20,Cửu Long Tranh Bá
S11,2024-10-25,Cửu Long Tranh Bá
S12,2024-10-25,Cửu Long Tranh Bá
S13,2024-11-29,Cửu Long Tranh Bá
S14,2024-11-29,Cửu Long Tranh Bá
S15,2025-01-01,Cửu Long Tranh Bá
S16,2025-01-01,Cửu Long Tranh Bá
S17,2025-02-05,Cửu Long Tranh Bá
S18,2025-03-10,Cửu Long Tranh Bá
S19,2025-03-10,Cửu Long Tranh Bá
S20,2025-04-14,Cửu Long Tranh Bá
S21,2025-04-14,Cửu Long Tranh Bá
S22,2025-05-19,Cửu Long Tranh Bá
S23,2025-05-19,Cửu Long Tranh Bá
S24,2025-06-21,Cửu Long Tranh Bá
S25,2025-06-21,Cửu Long Tranh Bá
S26,2025-07-26,Cửu Long Tranh Bá
S27,2025-07-26,Cửu Long Tranh Bá
S28,2025-08-29,Cửu Long Tranh Bá
S29,2025-08-29,Cửu Long Tranh Bá
S30,2025-10-04,Cửu Long Tranh Bá
S31,2025-10-04,Cửu Long Tranh Bá
S32,2025-11-07,Cửu Long Tranh Bá
S33,2025-11-07,Cửu Long Tranh Bá
S34,2025-12-12,Cửu Long Tranh Bá
S35,2026-01-16,Cửu Long Tranh Bá
S36,2026-01-16,Cửu Long Tranh Bá
S37,2026-02-22,Cửu Long Tranh Bá
S38,2026-02-22,Cửu Long Tranh Bá
S39,2026-02-22,Cửu Long Tranh Bá
S1,2024-10-01,Hiệp Khách Vô Song
S2,2024-10-01,Hiệp Khách Vô Song
