txn_id,user_id,game,date,method,amount,actual_paid,note
BILL24092918313778,2022620092,Cửu Long Tranh Bá,29/09/2024 18:31:37,banking,100000,85000,Nạp đầu (X2 Bonus)
BILL24100218180567,2022620092,Cửu Long Tranh Bá,02/10/2024 18:18:05,banking,20000,17000,Sự kiện (X2 Bonus)
BILL24100318400881,2022620092,Cửu Long Tranh Bá,03/10/2024 18:40:08,banking,50000,42500,Sự kiện (X2 Bonus)
BILL24100418442511,2022620092,Cửu Long Tranh Bá,04/10/2024 18:44:25,inapp,10000,8500,Sự kiện (X2 Bonus)
BILL24100811262120,2022620092,Cửu Long Tranh Bá,08/10/2024 11:26:21,momo,10000,8500,Sự kiện
BILL24101018271137,2022620092,Cửu Long Tranh Bá,10/10/2024 18:27:11,banking,10000,8500,Sự kiện
BILL25062918413760,2022670596,Tình Kiếm,29/06/2025 18:41:37,momo,10000,8500,Nạp đầu (X2 Bonus)
BILL25070307170459,2022670596,Tình Kiếm,03/07/2025 07:17:04,inapp,50000,42500,Sự kiện (X2 Bonus)
BILL25070811480391,2022670596,Tình Kiếm,08/07/2025 11:48:03,banking,100000,85000,Sự kiện (X2 Bonus)
BILL25071218310749,2022670596,Tình Kiếm,12/07/2025 18:31:07,momo,10000,8500,Sự kiện (X2 Bonus)
BILL25071318320853,2022670596,Tình Kiếm,13/07/2025 18:32:08,banking,20000,17000,Sự kiện (X2 Bonus)
BILL25071918265562,2022670596,Tình Kiếm,19/07/2025 18:26:55,momo,10000,8500,Sự kiện
BILL25110511360659,2022652753,Thanh Vân Kiếm,05/11/2025 11:36:06,banking,200000,170000,Nạp đầu (X2 Bonus)
BILL25110918565180,2022652753,Thanh Vân Kiếm,09/11/2025 18:56:51,momo,2000000,1600000,Sự kiện (X2 Bonus)
BILL25111018393544,2022652753,Thanh Vân Kiếm,10/11/2025 18:39:35,momo,50000,42500,Sự kiện (X2 Bonus)
BILL25111018413436,2022652753,Thanh Vân Kiếm,10/11/2025 18:41:34,momo,200000,170000,Sự kiện
BILL25111211325581,2022652753,Thanh Vân Kiếm,12/11/2025 11:32:55,momo,1000000,800000,Sự kiện (X2 Bonus)
BILL25111211353719,2022652753,Thanh Vân Kiếm,12/11/2025 11:35:37,momo,20000,17000,Sự kiện (X2 Bonus)
BILL25111318421457,2022652753,Thanh Vân Kiếm,13/11/2025 18:42:14,inapp,200000,170000,Sự kiện
BILL25111318440417,2022652753,Thanh Vân Kiếm,13/11/2025 18:44:04,momo,20000,17000,Sự kiện
BILL25111514542536,2022652753,Thanh Vân Kiếm,15/11/2025 14:54:25,banking,2000000,1600000,Sự kiện
BILL25112811315390,2022652753,Thanh Vân Kiếm,28/11/2025 11:31:53,momo,500000,400000,Sự kiện (X2 Bonus)
BILL25113011155229,2022652753,Thanh Vân Kiếm,30/11/2025 11:15:52,momo,20000,17000,Sự kiện
BILL25120111593893,2022652753,Thanh Vân Kiếm,01/12/2025 11:59:38,momo,200000,170000,Sự kiện (X2 Bonus)
BILL25120112023246,2022652753,Thanh Vân Kiếm,01/12/2025 12:02:32,banking,50000,42500,Sự kiện (X2 Bonus)
BILL25120218171513,2022652753,Thanh Vân Kiếm,02/12/2025 18:17:15,banking,200000,170000,Sự kiện
BILL25120218220030,2022652753,Thanh Vân Kiếm,02/12/2025 18:22:00,momo,50000,42500,Sự kiện
BILL25120518040660,2022652753,Thanh Vân Kiếm,05/12/2025 18:04:06,banking,2000000,1600000,Sự kiện (X2 Bonus)
BILL25120518115852,2022652753,Thanh Vân Kiếm,05/12/2025 18:11:58,momo,200000,170000,Sự kiện
BILL25120718005557,2022652753,Thanh Vân Kiếm,07/12/2025 18:00:55,momo,50000,42500,Sự kiện
BILL25120718044562,2022652753,Thanh Vân Kiếm,07/12/2025 18:04:45,inapp,200000,170000,Sự kiện
BILL25120814294482,2022652753,Thanh Vân Kiếm,08/12/2025 14:29:44,momo,200000,170000,Sự kiện
BILL25120918275357,2022652753,Thanh Vân Kiếm,09/12/2025 18:27:53,banking,20000,17000,Sự kiện (X2 Bonus)
BILL25121118023286,2022652753,Thanh Vân Kiếm,11/12/2025 18:02:32,momo,200000,170000,Sự kiện
BILL25121418013745,2022652753,Thanh Vân Kiếm,14/12/2025 18:01:37,banking,10000,8500,Sự kiện (X2 Bonus)
BILL25122018410767,2022652753,Thanh Vân Kiếm,20/12/2025 18:41:07,banking,100000,85000,Sự kiện (X2 Bonus)
BILL25122811513371,2022652753,Thanh Vân Kiếm,28/12/2025 11:51:33,banking,10000,8500,Sự kiện
BILL26010118254185,2022652753,Thanh Vân Kiếm,01/01/2026 18:25:41,momo,50000,42500,Sự kiện (X2 Bonus)
BILL26010418111911,2022652753,Thanh Vân Kiếm,04/01/2026 18:11:19,momo,20000,17000,Sự kiện (X2 Bonus)
BILL26011118565772,2022652753,Thanh Vân Kiếm,11/01/2026 18:56:57,momo,20000,17000,Sự kiện
BILL26011207274151,2022652753,Thanh Vân Kiếm,12/01/2026 07:27:41,momo,50000,42500,Sự kiện
BILL26012318240990,2022652753,Thanh Vân Kiếm,23/01/2026 18:24:09,banking,100000,85000,Sự kiện (X2 Bonus)
BILL26012514062677,2022652753,Thanh Vân Kiếm,25/01/2026 14:06:26,momo,20000,17000,Sự kiện
BILL26013018401334,2022652753,Thanh Vân Kiếm,30/01/2026 18:40:13,banking,10000,8500,Sự kiện (X2 Bonus)
BILL25101711195485,2022664410,Thanh Vân Kiếm,17/10/2025 11:19:54,banking,2000000,1600000,Nạp đầu (X2 Bonus)
BILL25101711242730,2022664410,Thanh Vân Kiếm,17/10/2025 11:24:27,momo,100000,85000,Sự kiện (X2 Bonus)
BILL25102411205854,2022664410,Thanh Vân Kiếm,24/10/2025 11:20:58,momo,50000000,40000000,Sự kiện (X2 Bonus)
BILL25102411235134,2022664410,Thanh Vân Kiếm,24/10/2025 11:23:51,banking,100000000,80000000,Sự kiện (X2 Bonus)
BILL25110118004114,2022664410,Thanh Vân Kiếm,01/11/2025 18:00:41,inapp,1000000,1000000,Sự kiện (X2 Bonus)
BILL25110418211084,2022664410,Thanh Vân Kiếm,04/11/2025 18:21:10,momo,1000000,800000,Sự kiện
BILL25110418305679,2022664410,Thanh Vân Kiếm,04/11/2025 18:30:56,banking,10000,8500,Sự kiện (X2 Bonus)
BILL25110518235020,2022664410,Thanh Vân Kiếm,05/11/2025 18:23:50,banking,100000000,80000000,Sự kiện (X2 Bonus)
BILL25110518271999,2022664410,Thanh Vân Kiếm,05/11/2025 18:27:19,momo,2000000,1600000,Sự kiện (X2 Bonus)
BILL25110911064546,2022664410,Thanh Vân Kiếm,09/11/2025 11:06:45,momo,50000,42500,Sự kiện (X2 Bonus)
BILL25110911093043,2022664410,Thanh Vân Kiếm,09/11/2025 11:09:30,momo,10000000,8000000,Sự kiện (X2 Bonus)
BILL25111118055482,2022664410,Thanh Vân Kiếm,11/11/2025 18:05:54,momo,1000000,800000,Sự kiện
BILL25111118092554,2022664410,Thanh Vân Kiếm,11/11/2025 18:09:25,momo,20000,17000,Sự kiện (X2 Bonus)
BILL25111511030275,2022664410,Thanh Vân Kiếm,15/11/2025 11:03:02,banking,1000000,800000,Sự kiện
BILL25111511060512,2022664410,Thanh Vân Kiếm,15/11/2025 11:06:05,banking,200000000,160000000,Sự kiện (X2 Bonus)
BILL25112818424439,2022664410,Thanh Vân Kiếm,28/11/2025 18:42:44,momo,5000000,4000000,Sự kiện (X2 Bonus)
BILL25113011212717,2022664410,Thanh Vân Kiếm,30/11/2025 11:21:27,banking,2000000,1600000,Sự kiện
BILL25120318311986,2022664410,Thanh Vân Kiếm,03/12/2025 18:31:19,momo,50000,42500,Sự kiện (X2 Bonus)
BILL25120611021613,2022664410,Thanh Vân Kiếm,06/12/2025 11:02:16,momo,5000000,4000000,Sự kiện (X2 Bonus)
BILL25121018325587,2022664410,Thanh Vân Kiếm,10/12/2025 18:32:55,banking,20000,17000,Sự kiện (X2 Bonus)
BILL25121018420826,2022664410,Thanh Vân Kiếm,10/12/2025 18:42:08,momo,200000,170000,Sự kiện (X2 Bonus)
BILL25121111392136,2022664410,Thanh Vân Kiếm,11/12/2025 11:39:21,banking,100000,85000,Sự kiện (X2 Bonus)
BILL25121911421544,2022664410,Thanh Vân Kiếm,19/12/2025 11:42:15,momo,50000,42500,Sự kiện
BILL25121911520744,2022664410,Thanh Vân Kiếm,19/12/2025 11:52:07,banking,50000,42500,Sự kiện
BILL26010218062032,2022664410,Thanh Vân Kiếm,02/01/2026 18:06:20,banking,200000,170000,Sự kiện (X2 Bonus)
BILL26010218124958,2022664410,Thanh Vân Kiếm,02/01/2026 18:12:49,banking,2000000,1600000,Sự kiện (X2 Bonus)
BILL26010518354062,2022664410,Thanh Vân Kiếm,05/01/2026 18:35:40,momo,1000000,800000,Sự kiện (X2 Bonus)
BILL26010518401312,2022664410,Thanh Vân Kiếm,05/01/2026 18:40:13,momo,2000000,1600000,Sự kiện
BILL26010818064150,2022664410,Thanh Vân Kiếm,08/01/2026 18:06:41,momo,500000,400000,Sự kiện (X2 Bonus)
BILL26010911050694,2022664410,Thanh Vân Kiếm,09/01/2026 11:05:06,momo,5000000,4000000,Sự kiện (X2 Bonus)
BILL26011311300151,2022664410,Thanh Vân Kiếm,13/01/2026 11:30:01,banking,1000000,800000,Sự kiện
BILL26011618371749,2022664410,Thanh Vân Kiếm,16/01/2026 18:37:17,banking,100000,85000,Sự kiện (X2 Bonus)
BILL26011718315068,2022664410,Thanh Vân Kiếm,17/01/2026 18:31:50,momo,200000,170000,Sự kiện
BILL26012511325654,2022664410,Thanh Vân Kiếm,25/01/2026 11:32:56,momo,500000,400000,Sự kiện
BILL24083118464993,2022674276,Cửu Long Tranh Bá,31/08/2024 18:46:49,momo,20000,17000,Nạp đầu (X2 Bonus)
BILL24090418044120,2022674276,Cửu Long Tranh Bá,04/09/2024 18:04:41,momo,50000,42500,Sự kiện (X2 Bonus)
BILL24090511593789,2022674276,Cửu Long Tranh Bá,05/09/2024 11:59:37,banking,100000,85000,Sự kiện (X2 Bonus)
BILL24090718372531,2022674276,Cửu Long Tranh Bá,07/09/2024 18:37:25,momo,20000,17000,Sự kiện (X2 Bonus)
BILL24090818021655,2022674276,Cửu Long Tranh Bá,08/09/2024 18:02:16,banking,10000,8500,Sự kiện (X2 Bonus)
BILL24122818572597,2022620432,Hiệp Khách Vô Song,28/12/2024 18:57:25,momo,50000,42500,Nạp đầu (X2 Bonus)
BILL25010218022686,2022620432,Hiệp Khách Vô Song,02/01/2025 18:02:26,momo,200000,170000,Sự kiện (X2 Bonus)
BILL25010407411578,2022620432,Hiệp Khách Vô Song,04/01/2025 07:41:15,banking,5000000,4000000,Sự kiện (X2 Bonus)
BILL25010407422595,2022620432,Hiệp Khách Vô Song,04/01/2025 07:42:25,banking,50000,42500,Sự kiện (X2 Bonus)
BILL25011018052499,2022620432,Hiệp Khách Vô Song,10/01/2025 18:05:24,banking,10000,8500,Sự kiện (X2 Bonus)
BILL25011018113338,2022620432,Hiệp Khách Vô Song,10/01/2025 18:11:33,momo,20000,17000,Sự kiện (X2 Bonus)
BILL25011318050571,2022620432,Hiệp Khách Vô Song,13/01/2025 18:05:05,banking,200000,170000,Sự kiện
BILL25011318120654,2022620432,Hiệp Khách Vô Song,13/01/2025 18:12:06,banking,500000,400000,Sự kiện (X2 Bonus)
BILL25011818350958,2022620432,Hiệp Khách Vô Song,18/01/2025 18:35:09,banking,2000000,1600000,Sự kiện (X2 Bonus)
BILL25011818445828,2022620432,Hiệp Khách Vô Song,18/01/2025 18:44:58,momo,50000,42500,Sự kiện
BILL25011918432981,2022620432,Hiệp Khách Vô Song,19/01/2025 18:43:29,banking,500000,400000,Sự kiện
BILL25012411585276,2022620432,Hiệp Khách Vô Song,24/01/2025 11:58:52,momo,200000,170000,Sự kiện
BILL25013118424075,2022620432,Hiệp Khách Vô Song,31/01/2025 18:42:40,momo,100000,85000,Sự kiện (X2 Bonus)
BILL25013118511573,2022620432,Hiệp Khách Vô Song,31/01/2025 18:51:15,banking,200000,170000,Sự kiện
BILL25020211202322,2022620432,Hiệp Khách Vô Song,02/02/2025 11:20:23,banking,200000,170000,Sự kiện (X2 Bonus)
BILL25020414122159,2022620432,Hiệp Khách Vô Song,04/02/2025 14:12:21,banking,20000,17000,Sự kiện (X2 Bonus)
BILL25020518582884,2022620432,Hiệp Khách Vô Song,05/02/2025 18:58:28,banking,20000,17000,Sự kiện
